행정구역,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
광주광역시 동구 지원1동(2911073000),107,83,92,130,91,86,66,70,65,71,85,69,58,54,36,45,35,29,41,25,24,11,16,15,16,8,6,6,4,4,2,1,3,2,0,3
광주광역시 동구 지원2동(2911074000),137,108,109,117,110,109,93,90,76,65,105,87,72,64,64,64,45,43,48,37,33,21,20,20,16,16,7,12,6,6,4,4,3,3,1,10
광주광역시 서구 (2914000000),2909,2308,2455,2483,2271,2431,1886,1734,1710,1585,2097,1626,1386,1426,1200,1078,933,903,780,688,592,460,396,386,282,230,156,134,99,120,73,41,28,27,13,65
광주광역시 서구 양동(2914057500),76,73,86,86,73,94,80,73,72,77,93,77,61,46,43,48,44,37,30,19,23,12,11,11,6,14,4,4,4,4,1,0,2,1,1,6
광주광역시 서구 양3동(2914059000),73,59,80,55,51,76,34,47,58,29,42,40,40,33,25,20,19,19,17,12,10,8,11,9,7,2,1,5,3,4,0,0,0,0,0,0
광주광역시 서구 농성1동(2914065000),137,113,129,129,123,146,106,80,86,86,120,88,78,85,70,53,42,43,33,36,32,13,16,20,17,8,12,5,5,3,1,1,0,0,0,2
광주광역시 서구 농성2동(2914066000),58,56,61,68,74,58,62,44,46,45,73,48,39,41,39,29,26,28,25,15,11,14,7,8,6,3,5,3,1,3,1,0,1,1,0,1
광주광역시 서구 광천동(2914073000),128,99,110,108,92,120,84,89,78,64,103,75,61,61,51,42,34,38,33,31,24,18,17,16,13,14,4,7,7,8,4,2,0,3,0,12
광주광역시 서구 유덕동(2914074000),77,69,75,50,65,65,40,45,56,46,67,44,46,44,42,47,26,31,25,25,13,16,11,14,9,6,4,6,2,3,2,0,1,1,0,0
광주광역시 서구 치평동(2914074500),216,153,171,156,165,187,156,131,149,123,167,139,114,150,108,84,83,76,86,64,50,46,30,25,15,15,14,12,6,7,6,4,0,2,1,2
광주광역시 서구 상무1동(2914075100),220,167,189,186,162,174,134,123,116,129,134,113,77,84,74,65,46,54,45,38,43,31,31,11,22,14,9,6,7,8,6,2,3,3,1,3
광주광역시 서구 상무2동(2914075200),305,277,266,282,251,269,192,199,183,166,243,185,168,161,126,111,101,100,86,69,52,49,43,41,36,20,13,13,11,12,8,9,4,1,1,12
광주광역시 서구 화정1동(2914076000),142,147,151,152,126,170,118,110,106,114,134,94,94,104,86,80,64,74,50,46,44,31,26,21,19,25,10,7,6,9,3,4,5,0,0,3
광주광역시 서구 화정2동(2914077000),206,183,165,182,135,146,137,104,93,84,124,84,69,63,61,55,44,46,44,37,30,24,19,26,19,13,13,8,3,8,6,2,0,1,1,2
광주광역시 서구 화정3동(2914078000),151,97,111,117,105,108,94,70,64,72,96,94,60,60,49,48,31,47,42,38,23,19,24,24,12,7,10,8,6,5,5,3,1,1,4,2
광주광역시 서구 화정4동(2914079000),235,161,179,163,158,133,114,104,114,73,109,81,71,77,76,65,62,56,34,50,39,38,22,23,20,16,16,4,6,10,5,3,4,1,1,5
광주광역시 서구 서창동(2914080000),63,58,59,62,58,63,45,49,42,33,64,49,41,45,41,40,37,33,28,24,25,16,27,11,11,8,13,7,7,7,2,0,3,1,0,5
광주광역시 서구 금호1동(2914082100),233,200,171,177,182,183,136,130,128,121,150,104,106,98,88,77,86,79,69,57,43,40,20,38,17,13,6,9,10,8,7,1,1,5,2,4
광주광역시 서구 금호2동(2914082400),223,114,161,157,144,136,127,109,97,101,117,94,102,96,81,65,60,51,36,38,34,29,22,30,16,13,8,10,5,5,5,4,2,3,0,4
광주광역시 서구 풍암동(2914083000),246,166,200,238,212,212,164,153,152,156,196,157,113,132,109,109,94,76,64,62,71,43,41,45,26,29,11,13,6,13,10,3,1,3,1,1
광주광역시 서구 동천동(2914084000),120,116,91,115,95,91,63,74,70,66,65,60,46,46,31,40,34,15,33,27,25,13,18,13,11,10,3,7,4,3,1,3,0,0,0,1
광주광역시 남구 (2915500000),2576,2051,2120,2317,2106,2205,1731,1572,1550,1458,1926,1535,1290,1268,1124,1030,844,846,724,591,523,385,420,353,238,231,145,132,66,103,71,52,23,22,17,82
광주광역시 남구 양림동(2915551000),103,105,106,117,91,118,87,80,71,61,110,91,60,48,59,38,65,39,46,34,25,20,23,21,16,7,2,2,1,4,2,3,1,2,0,11
광주광역시 남구 방림1동(2915552000),95,74,74,98,86,82,63,59,71,55,75,53,53,52,34,46,25,35,24,16,8,14,12,9,7,8,5,4,4,7,1,1,1,1,0,7
광주광역시 남구 방림2동(2915553000),134,133,132,152,134,130,121,105,121,73,111,96,88,72,71,55,45,36,58,36,34,23,32,19,13,11,12,9,3,3,6,2,1,2,1,6
광주광역시 남구 봉선1동(2915553700),180,138,165,156,142,152,111,114,88,128,133,123,119,87,87,76,74,70,59,48,61,29,50,29,22,17,20,9,10,13,5,3,2,0,3,4
광주광역시 남구 봉선2동(2915553800),225,170,186,203,153,182,156,136,118,125,161,129,119,124,103,101,80,82,73,55,45,45,36,41,24,32,11,15,5,15,5,4,2,0,1,4
광주광역시 남구 사직동(2915554500),81,76,70,93,84,93,65,60,84,76,82,76,61,58,39,48,38,33,21,28,22,12,11,15,6,5,6,6,2,4,2,1,1,2,1,13
광주광역시 남구 월산동(2915560500),149,140,136,152,156,167,129,118,116,122,156,115,94,91,99,71,54,61,49,43,38,25,29,26,20,15,6,6,5,6,3,3,3,2,2,3
광주광역시 남구 월산4동(2915563000),145,118,117,113,136,118,118,86,89,77,102,83,72,54,47,62,34,51,35,18,23,18,10,9,17,16,3,4,1,6,3,1,0,1,1,1
광주광역시 남구 월산5동(2915564000),112,87,85,89,94,107,80,69,74,48,71,66,40,54,47,28,37,31,19,26,17,12,12,8,6,9,4,2,3,2,4,1,1,1,0,5
광주광역시 남구 백운1동(2915567000),191,151,125,157,141,146,95,90,102,101,121,87,64,79,71,68,49,41,41,35,30,30,26,29,17,20,14,5,3,8,4,2,1,1,0,1
광주광역시 남구 백운2동(2915568000),91,69,74,79,70,88,58,51,57,60,74,51,44,61,36,34,32,25,23,14,16,16,18,12,3,5,2,5,1,1,2,1,1,1,1,7
광주광역시 남구 주월1동(2915569000),221,178,199,178,185,183,131,134,109,122,148,124,94,91,84,72,64,56,34,40,44,19,25,24,17,19,12,8,6,5,5,3,2,1,1,3
광주광역시 남구 주월2동(2915570000),150,98,116,119,100,120,94,74,76,57,102,75,63,54,52,39,28,33,23,27,17,12,21,14,2,9,5,5,2,3,4,3,1,1,1,4
광주광역시 남구 효덕동(2915571000),487,355,378,430,374,350,280,281,255,247,312,240,187,221,182,185,136,150,123,98,92,65,75,66,30,37,30,32,14,16,16,13,2,4,2,9
광주광역시 남구 송암동(2915572000),107,74,77,80,77,68,62,45,54,37,66,38,48,39,51,31,34,28,29,19,19,20,14,12,14,9,6,6,2,5,5,4,2,0,1,1
광주광역시 남구 대촌동(2915573000),105,85,80,101,83,101,81,70,65,69,102,88,84,83,62,76,49,75,67,54,32,25,26,19,24,12,7,14,4,5,4,7,2,3,2,3
광주광역시 북구 (2917000000),4463,3663,3790,3850,3569,3726,2941,2539,2590,2308,3323,2508,2082,2012,1853,1687,1449,1386,1237,945,822,732,644,572,439,346,264,184,115,134,92,68,52,33,21,93
광주광역시 북구 중흥1동(2917051000),42,49,50,45,50,54,38,31,40,34,47,43,20,23,21,20,27,11,12,14,13,9,7,6,6,2,4,2,1,1,3,1,0,1,0,5
광주광역시 북구 중흥2동(2917052000),112,114,92,110,112,108,72,90,92,77,112,49,76,58,62,45,52,44,34,25,28,22,12,13,9,17,7,7,3,2,4,1,1,0,1,3
광주광역시 북구 중흥3동(2917053000),86,77,76,75,62,96,67,58,47,49,77,48,43,43,44,32,29,19,27,13,9,11,13,5,7,1,1,1,0,1,3,2,2,0,1,6
광주광역시 북구 중앙동(2917055500),60,39,61,71,55,61,61,31,34,33,47,47,31,26,34,33,29,28,17,16,15,17,9,14,7,6,8,2,2,3,2,1,2,2,0,2
광주광역시 북구 임동(2917057000),155,100,121,126,106,125,100,74,84,89,97,76,76,68,41,45,33,38,23,21,16,24,18,18,16,9,10,6,2,3,2,4,2,0,1,4
광주광역시 북구 신안동(2917058000),161,125,142,132,136,120,112,77,115,84,136,92,74,66,63,84,47,53,38,28,17,21,19,15,10,10,8,6,6,7,2,2,3,1,1,5
광주광역시 북구 용봉동(2917059000),380,289,324,293,315,301,222,220,206,199,265,175,153,142,136,122,110,92,88,77,55,46,43,41,26,20,15,13,7,16,5,4,6,2,1,5
광주광역시 북구 운암1동(2917060100),238,173,196,166,138,153,132,97,108,97,110,102,73,61,64,57,40,35,50,25,32,23,24,23,30,14,7,9,1,4,6,2,2,1,0,4
광주광역시 북구 운암2동(2917060200),174,179,141,162,173,158,137,118,102,114,133,107,83,90,76,72,60,58,55,33,29,25,19,26,12,8,10,6,5,4,5,0,3,2,1,3
광주광역시 북구 운암3동(2917060300),165,137,143,148,109,131,101,92,79,65,120,72,58,77,54,57,46,40,50,51,40,35,30,16,14,16,18,11,4,7,2,3,1,3,1,2
